slug,name,city,country,hotel_company,current_url,new_image_url,image_status
hotel-de-la-cit-carcassonne-mgallery-collection-france,"Hotel de la Cité Carcassonne – MGallery Collection","Carcassonne",France,"Accor",https://media.virtuoso.com/m/Images/Brochures/4462_2_0_0311.jpg,,
lucknam-park-emblems-collection-united-kingdom,"Lucknam Park, Emblems Collection","Bath",United Kingdom,"Accor",https://media.virtuoso.com/m/Images/Brochures/4651_2_12_0314.jpg,,
so-auckland-new-zealand,"SO/ Auckland","Auckland",New Zealand,"Accor",https://media.virtuoso.com/m/Images/Brochures/15991908_2_3_0227.jpg,,
so-berlin-das-stue-germany,"SO/ Berlin Das Stue","Berlin",Germany,"Accor",https://media.virtuoso.com/m/Images/Brochures/14853603_2_13_0322.jpg,,
sofitel-chicago-magnificent-mile-united-states,"Sofitel Chicago Magnificent Mile","Chicago",United States,"Accor",https://media.virtuoso.com/m/Images/Brochures/4601_2_0_0312.jpg,,
sofitel-kia-ora-moorea-beach-resort-french-polynesia,"Sofitel Kia Ora Moorea Beach Resort","Moorea",French Polynesia,"Accor",https://media.virtuoso.com/m/Images/Brochures/16395455_2_0_0308.jpg,,
sofitel-mexico-city-reforma-mexico,"Sofitel Mexico City Reforma","Mexico City",Mexico,"Accor",https://media.virtuoso.com/m/Images/Brochures/15996396_2_0_0227.jpg,,
airelles-saint-tropez-chateau-de-la-messardiere-france,"Airelles Saint Tropez, Chateau de la Messardiere","St. Tropez",France,"Airelles",https://media.virtuoso.com/m/Images/Brochures/12648149_2_0_0225.jpg,,
airelles-saint-tropez-pan-dei-palais-france,"Airelles Saint-Tropez, Pan Dei Palais","St. Tropez",France,"Airelles",https://media.virtuoso.com/m/Images/Brochures/3628804_2_0_0310.jpg,,
airelles-val-disere-france,"Airelles, Val d'Isere","Val-d'isere",France,"Airelles",https://media.virtuoso.com/m/Images/Brochures/16117106_2_0_0225.jpg,,
awasi-iguazu-relais-chateaux-argentina,"Awasi Iguazu Relais & Chateaux","Puerto Iguazú",Argentina,"Awasi Lodges",https://media.virtuoso.com/m/Images/Brochures/18268505_2_0_0225.jpg,,
awasi-patagonia-relais-chateaux-chile,"Awasi Patagonia Relais & Chateaux","Torres del Paine National Park",Chile,"Awasi Lodges",https://media.virtuoso.com/m/Images/Brochures/18251115_2_0_0225.jpg,,
awasi-santa-catarina-relais-chateaux-brazil,"Awasi Santa Catarina Relais & Chateaux","Governador Celso Ramos",Brazil,"Awasi Lodges",https://media.virtuoso.com/m/Images/Brochures/3733_2_0_0316.jpg,,
baglioni-hotel-luna-italy,"Baglioni Hotel Luna","Venice",Italy,"Baglioni Hotels Collection",https://media.virtuoso.com/m/Images/Brochures/4005_2_0_0306.jpg,,
baglioni-hotel-regina-italy,"Baglioni Hotel Regina","Rome",Italy,"Baglioni Hotels Collection",https://media.virtuoso.com/m/Images/Brochures/4372_2_0_0310.jpg,,
banyan-tree-alula-saudi-arabia,"Banyan Tree AlUla","AlUla",Saudi Arabia,"Banyan Group",https://media.virtuoso.com/m/Images/Brochures/16728265_2_0_0305.jpg,,
buahan-a-banyan-tree-escape-indonesia,"Buahan, A Banyan Tree Escape","Ubud",Indonesia,"Banyan Group",https://media.virtuoso.com/m/Images/Brochures/16268178_2_18_0303.jpg,,
hotel-barriere-le-grand-hotel-dinard-france,"Hotel Barriere Le Grand Hotel Dinard","Dinard",France,"Barriere Collection",https://media.virtuoso.com/m/Images/Brochures/17903420_2_0_0301.jpg,,
htel-barrire-le-majestic-cannes-france,"Hôtel Barrière Le Majestic Cannes","Cannes",France,"Barriere Collection",https://media.virtuoso.com/m/Images/Brochures/5805120_2_0_0222.jpg,,
burgenstock-hotel-and-alpine-spa-switzerland,"Burgenstock Hotel and Alpine Spa","Lake Lucerne, Switzerland",Switzerland,"Burgenstock Collection",https://media.virtuoso.com/m/Images/Brochures/15603496_2_0_0314.jpg,,
capella-sydney-australia,"Capella Sydney","Sydney",Australia,"Capella Hotel Group",https://media.virtuoso.com/m/Images/Brochures/16562779_2_0_0309.jpg,,
patina-osaka-japan,"Patina Osaka","Osaka",Japan,"Capella Hotel Group",https://media.virtuoso.com/m/Images/Brochures/18391398_2_0_0311.jpg,,
hotel-pitrizza-italy,"Hotel Pitrizza","Porto Cervo",Italy,"Cheval Blanc by LVMH Hotel Management",https://media.virtuoso.com/m/Images/Brochures/4351_2_0_0310.jpg,,
bungalows-at-the-boca-raton-united-states,"Bungalows at The Boca Raton","Boca Raton",United States,"Cloister at The Boca Raton",https://media.virtuoso.com/m/Images/Brochures/16471248_2_0_0226.jpg,,
como-maalifushi-maldives,"COMO Maalifushi","Guraidhoo,Thaa Atoll",Maldives,"COMO Hotels and Resorts",https://media.virtuoso.com/m/Images/Brochures/15810878_2_0_0224.jpg,,
explora-patagonia-national-park-chile,"Explora Patagonia National Park","Cochrane",Chile,"Explora",https://media.virtuoso.com/m/Images/Brochures/16423054_2_0_0315.jpg,,
explora-uyuni-bolivia,"Explora Uyuni","Uyuni",Bolivia,"Explora",https://media.virtuoso.com/m/Images/Brochures/16641084_2_25_0311.jpg,,
fasano-punta-del-este-uruguay,"Fasano Punta del Este","La Barra",Uruguay,"Fasano Hotels",https://media.virtuoso.com/m/Images/Brochures/6563083_2_0_0314.jpg,,
hotel-fasano-angra-dos-reis-brazil,"Hotel Fasano Angra dos Reis","Angra Dos Reis",Brazil,"Fasano Hotels",https://media.virtuoso.com/m/Images/Brochures/15768837_2_0_0223.jpg,,
hotel-fasano-sao-paulo-itaim-brazil,"Hotel Fasano Sao Paulo Itaim","Sao Paulo",Brazil,"Fasano Hotels",https://media.virtuoso.com/m/Images/Brochures/16769756_2_0_0315.jpg,,
hotel-fasano-trancoso-brazil,"Hotel Fasano Trancoso","Trancoso",Brazil,"Fasano Hotels",https://media.virtuoso.com/m/Images/Brochures/16423050_2_0_0305.jpg,,
grand-velas-los-cabos-mexico,"Grand Velas Los Cabos","Cabo San Lucas",Mexico,"Grand Velas Resorts",https://media.virtuoso.com/m/Images/Brochures/15476764_2_0_0223.jpg,,
7pines-resort-ibiza-spain,"7Pines Resort Ibiza","Ibiza",Spain,"Hyatt Hotels Corporation",https://media.virtuoso.com/m/Images/Brochures/16122878_2_0_0307.jpg,,
7pines-resort-sardinia-italy,"7Pines Resort Sardinia","Arzachena",Italy,"Hyatt Hotels Corporation",https://media.virtuoso.com/m/Images/Brochures/16921314_2_0_0225.jpg,,
alila-mayakoba-mexico,"Alila Mayakoba","Riviera Maya",Mexico,"Hyatt Hotels Corporation",https://media.virtuoso.com/m/Images/Brochures/15244321_2_0_0320.jpg,,
andaz-bali-indonesia,"Andaz Bali","Bali",Indonesia,"Hyatt Hotels Corporation",https://media.virtuoso.com/m/Images/Brochures/16597012_2_0_0310.jpg,,
andaz-tokyo-toranomon-hills-japan,"Andaz Tokyo Toranomon Hills","Tokyo",Japan,"Hyatt Hotels Corporation",https://media.virtuoso.com/m/Images/Brochures/14656837_2_0_0304.jpg,,
grand-hyatt-indian-wells-resort-villas-united-states,"Grand Hyatt Indian Wells Resort & Villas","Indian Wells",United States,"Hyatt Hotels Corporation",https://media.virtuoso.com/m/Images/Brochures/4583_2_58_0312.jpg,,
grand-hyatt-tokyo-japan,"Grand Hyatt Tokyo","Tokyo",Japan,"Hyatt Hotels Corporation",https://media.virtuoso.com/m/Images/Brochures/6616328_2_4_0314.jpg,,
grand-hyatt-vail-united-states,"Grand Hyatt Vail","Vail",United States,"Hyatt Hotels Corporation",https://media.virtuoso.com/m/Images/Brochures/4027_2_0_0310.jpg,,
hotel-martinez-france,"Hotel Martinez","Cannes",France,"Hyatt Hotels Corporation",https://media.virtuoso.com/m/Images/Brochures/12664483_2_0_0319.jpg,,
hyatt-regency-aruba-resort-spa-casino-aruba,"Hyatt Regency Aruba Resort, Spa & Casino","Palm Beach",Aruba,"Hyatt Hotels Corporation",https://media.virtuoso.com/m/Images/Brochures/11152928_2_0_0318.jpg,,
