"status","slug","name","current_url"
"NO_URL","fairmont-la-marina-rabat-sal-hotel-and-residences-morocco","Fairmont La Marina Rabat Salé Hotel And Residences",""
"NO_URL","fairmont-southampton-bermuda","Fairmont Southampton",""
"NO_URL","lake-placid-lodge-united-states","Lake Placid Lodge",""
"NO_URL","marina-bay-sands-singapore","Marina Bay Sands",""
"404_BROKEN","airelles-saint-tropez-chateau-de-la-messardiere-france","Airelles Saint Tropez, Chateau de la Messardiere","https://media.virtuoso.com/m/Images/Brochures/12648149_2_0_0225.jpg"
"404_BROKEN","airelles-saint-tropez-pan-dei-palais-france","Airelles Saint-Tropez, Pan Dei Palais","https://media.virtuoso.com/m/Images/Brochures/3628804_2_0_0310.jpg"
"404_BROKEN","airelles-val-disere-france","Airelles, Val d'Isere","https://media.virtuoso.com/m/Images/Brochures/16117106_2_0_0225.jpg"
"404_BROKEN","alila-mayakoba-mexico","Alila Mayakoba","https://media.virtuoso.com/m/Images/Brochures/15244321_2_0_0320.jpg"
"404_BROKEN","alpengold-hotel-davos-switzerland","AlpenGold Hotel Davos","https://media.virtuoso.com/m/Images/Brochures/14327480_2_0_0310.jpg"
"404_BROKEN","anantara-convento-di-amalfi-grand-hotel-italy","Anantara Convento di Amalfi Grand Hotel","https://media.virtuoso.com/m/Images/Brochures/16752134_2_0_0226.jpg"
"404_BROKEN","anantara-golden-triangle-elephant-camp-resort-thailand","Anantara Golden Triangle Elephant Camp & Resort","https://media.virtuoso.com/m/Images/Brochures/3762_2_0_0228.jpg"
"404_BROKEN","anantara-kihavah-maldives-villas-maldives","Anantara Kihavah Maldives Villas","https://media.virtuoso.com/m/Images/Brochures/18052037_2_0_0221.jpg"
"404_BROKEN","anantara-peace-haven-tangalle-resort-sri-lanka","Anantara Peace Haven Tangalle Resort","https://media.virtuoso.com/m/Images/Brochures/15411873_2_0_0226.jpg"
"404_BROKEN","anantara-siam-bangkok-hotel-thailand","Anantara Siam Bangkok Hotel","https://media.virtuoso.com/m/Images/Brochures/4244_2_0_0309.jpg"
"404_BROKEN","anantara-villa-padierna-palace-benahavis-marbella-resort-spain","Anantara Villa Padierna Palace - Benahavis Marbella Resort","https://media.virtuoso.com/m/Images/Brochures/16728283_2_0_0312.jpg"
"404_BROKEN","anantara-world-islands-dubai-resort-united-arab-emirates","Anantara World Islands Dubai Resort","https://media.virtuoso.com/m/Images/Brochures/16519296_2_0_0308.jpg"
"404_BROKEN","andaz-bali-indonesia","Andaz Bali","https://media.virtuoso.com/m/Images/Brochures/16597012_2_0_0310.jpg"
"404_BROKEN","andaz-tokyo-toranomon-hills-japan","Andaz Tokyo Toranomon Hills","https://media.virtuoso.com/m/Images/Brochures/14656837_2_0_0304.jpg"
"404_BROKEN","aria-sky-suites-united-states","ARIA Sky Suites","https://media.virtuoso.com/m/Images/Brochures/5870537_2_0_0313.jpg"
"404_BROKEN","aurora-anguilla-resort-golf-club-anguilla","Aurora Anguilla Resort & Golf Club","https://media.virtuoso.com/m/Images/Brochures/4527_2_0_0311.jpg"
"404_BROKEN","awasi-iguazu-relais-chateaux-argentina","Awasi Iguazu Relais & Chateaux","https://media.virtuoso.com/m/Images/Brochures/18268505_2_0_0225.jpg"
"404_BROKEN","awasi-patagonia-relais-chateaux-chile","Awasi Patagonia Relais & Chateaux","https://media.virtuoso.com/m/Images/Brochures/18251115_2_0_0225.jpg"
"404_BROKEN","awasi-santa-catarina-relais-chateaux-brazil","Awasi Santa Catarina Relais & Chateaux","https://media.virtuoso.com/m/Images/Brochures/3733_2_0_0316.jpg"
"404_BROKEN","baglioni-hotel-luna-italy","Baglioni Hotel Luna","https://media.virtuoso.com/m/Images/Brochures/4005_2_0_0306.jpg"
"404_BROKEN","baglioni-hotel-regina-italy","Baglioni Hotel Regina","https://media.virtuoso.com/m/Images/Brochures/4372_2_0_0310.jpg"
"404_BROKEN","banyan-tree-alula-saudi-arabia","Banyan Tree AlUla","https://media.virtuoso.com/m/Images/Brochures/16728265_2_0_0305.jpg"
"404_BROKEN","beaverbrook-united-kingdom","Beaverbrook","https://media.virtuoso.com/m/Images/Brochures/16745661_2_0_0312.jpg"
"404_BROKEN","bellevue-palace-switzerland","Bellevue Palace","https://media.virtuoso.com/m/Images/Brochures/4338_2_0_0308.jpg"
"404_BROKEN","birkenhead-house-south-africa","Birkenhead House","https://media.virtuoso.com/m/Images/Brochures/3846_2_0_0228.jpg"
"404_BROKEN","botanique-hotel-experience-brazil","Botanique Hotel Experience","https://media.virtuoso.com/m/Images/Brochures/16786089_2_0_0315.jpg"
"404_BROKEN","buahan-a-banyan-tree-escape-indonesia","Buahan, A Banyan Tree Escape","https://media.virtuoso.com/m/Images/Brochures/16268178_2_18_0303.jpg"
"404_BROKEN","bungalows-at-the-boca-raton-united-states","Bungalows at The Boca Raton","https://media.virtuoso.com/m/Images/Brochures/16471248_2_0_0226.jpg"
"404_BROKEN","burgenstock-hotel-and-alpine-spa-switzerland","Burgenstock Hotel and Alpine Spa","https://media.virtuoso.com/m/Images/Brochures/15603496_2_0_0314.jpg"
"404_BROKEN","bvlgari-hotel-shanghai-china","Bvlgari Hotel Shanghai","https://media.virtuoso.com/m/Images/Brochures/15441437_2_1_0325.jpg"
"404_BROKEN","bvlgari-resort-bali-indonesia","Bvlgari Resort Bali","https://media.virtuoso.com/m/Images/Brochures/4633_2_0_0302.jpg"
"404_BROKEN","capella-sydney-australia","Capella Sydney","https://media.virtuoso.com/m/Images/Brochures/16562779_2_0_0309.jpg"
"404_BROKEN","capelongue-a-beaumier-hotel-spa-france","Capelongue, a Beaumier Hotel & Spa","https://media.virtuoso.com/m/Images/Brochures/16813343_2_0_0228.jpg"
"404_BROKEN","casa-angelina-italy","Casa Angelina","https://media.virtuoso.com/m/Images/Brochures/15601666_2_0_0302.jpg"
"404_BROKEN","castel-badia-italy","Castel Badia","https://media.virtuoso.com/m/Images/Brochures/18333754_2_1_0316.jpg"
"404_BROKEN","castello-banfi-il-borgo-italy","Castello Banfi - Il Borgo","https://media.virtuoso.com/m/Images/Brochures/1690751_2_2_0313.jpg"
"404_BROKEN","como-maalifushi-maldives","COMO Maalifushi","https://media.virtuoso.com/m/Images/Brochures/15810878_2_0_0224.jpg"
"404_BROKEN","country-club-lima-hotel-peru","Country Club Lima Hotel","https://media.virtuoso.com/m/Images/Brochures/4662_2_8_0314.jpg"
