slug,name,new_image_url
aman-kyoto-japan,Aman Kyoto,https://www.aman.com/sites/default/files/styles/central_carousel_small/public/2025-09/Aman%20Kyoto%2C%20Japan%20-%20Living%20Pavilion%20Exterior%20_Autumn.jpg?itok=eSALKRmk
aman-new-york-united-states,Aman New York,https://www.aman.com/sites/default/files/styles/central_carousel_small/public/2026-03/Aman-New-York--USA---Exterior--F-B--Garden-Terrace-sRGB.jpg?itok=dWzey_md
aman-venice-italy,Aman Venice,https://www.aman.com/sites/default/files/styles/central_carousel_small/public/2025-11/Aman%20Venice%2C%20Italy%20-%20%20Resort%2C%20Exterior.jpg?itok=OEtmcWol
amanbagh-india,Amanbagh,https://www.aman.com/sites/default/files/styles/central_carousel_small/public/2023-01/Amanbagh%2C%20India%20-%20Main%20Building%2C%20Pool%20View-2.jpg?itok=izX0oiW7
amandari-indonesia,Amandari,https://www.aman.com/sites/default/files/styles/central_carousel_small/public/2023-01/Amandari%2C%20Indonesia%20-%20Resort%20Swimming%20Pool%2C%20views.jpg?itok=M4cpIOxr
amanemu-japan,Amanemu,https://www.aman.com/sites/default/files/styles/central_carousel_small/public/2022-09/Amanemu%2C%20Japan%20-%20Resort%2C%20drone%20shot%204-5.jpg?itok=7EjIqgrA
amanera-dominican-republic,Amanera,https://www.aman.com/sites/default/files/styles/central_carousel_small/public/2023-06/amanera_domincan_republic_resort_views.jpg?itok=8bWho5WJ
amangani-united-states,Amangani,https://www.aman.com/sites/default/files/styles/central_carousel_small/public/2022-10/AlexMoling_Amangani_Pool-2.jpg?itok=X1B66jzY
amangiri-united-states,Amangiri,https://www.aman.com/sites/default/files/styles/central_carousel_small/public/2025-11/Amangiri%2C%20USA%20-%20Exterior%2C%20Aerial%20Views%20Resort.jpg?itok=YzKnSIEV
amanjena-morocco,Amanjena,https://www.aman.com/sites/default/files/styles/central_carousel_small/public/2021-12/Amanjena_Gallery_1.jpg?itok=JhxqJZzO
amanjiwo-indonesia,Amanjiwo,https://www.aman.com/sites/default/files/styles/central_carousel_small/public/2022-04/Amanjiwo%2C%20Indonesia%20-%20Property%2C%20drone%20shot%202-4-2.jpg?itok=h3-aS2lF
amanoi-vietnam,Amanoi,https://www.aman.com/sites/default/files/styles/central_carousel_small/public/2021-03/Amanoi_Gallery_12_0.jpg?itok=euuPoqw2
amanpulo-philippines,Amanpulo,https://www.aman.com/sites/default/files/styles/central_carousel_small/public/2021-03/Amanpulo-Gallery-17.jpg?itok=M7k_0XFg
amantaka-laos,Amantaka,https://www.aman.com/sites/default/files/styles/central_carousel_small/public/2021-03/Amantaka_Gallery_4.jpg?itok=LzYMKi4t
amanwella-sri-lanka,Amanwella,https://www.aman.com/sites/default/files/styles/central_carousel_small/public/2026-02/Amanwella%2C%20Sri%20Lanka%20%E2%80%93%20Pool%20%281%29.jpg?itok=ylk3vkJM
amanyara-turks-and-caicos-islands,Amanyara,https://www.aman.com/sites/default/files/styles/central_carousel_small/public/2024-08/amanyara_turks_caicos_-_exterior_beach.jpg?itok=j6B-lj8b
domaine-des-etangs-auberge-collection-france,"Domaine des Etangs, Auberge Collection",https://media.virtuoso.com/m/Images/Brochures/w900/15659689_2_97_0502.jpg
madeline-hotel-residences-auberge-collection-united-states,"Madeline Hotel & Residences, Auberge Collection",https://dreffui1gbt6t.cloudfront.net/images/mdl/MDL_Exteriors_Pool_2021_DJI_0719.jpg
the-woodward-auberge-collection-switzerland,"The Woodward, Auberge Collection",https://media.virtuoso.com/m/Images/Brochures/w900/16259174_2_1_0420.jpg
wildflower-farms-auberge-collection-united-states,"Wildflower Farms, Auberge Collection",https://media.virtuoso.com/m/Images/Brochures/w900/16477758_2_0_0417.jpg
caruso-a-belmond-hotel-amalfi-coast-italy,"Caruso, A Belmond Hotel, Amalfi Coast",https://img.belmond.com/f_auto/t_2580x1299/photos/car/car-ext02.jpg
copacabana-palace-a-belmond-hotel-rio-de-janeiro-brazil,"Copacabana Palace, A Belmond Hotel, Rio de Janeiro",https://img.belmond.com/f_auto/t_2580x1299/photos/cop/cop-din-pool06.jpg
grand-hotel-timeo-a-belmond-hotel-taormina-italy,"Grand Hotel Timeo, A Belmond Hotel, Taormina",https://img.belmond.com/f_auto/t_2580x1299/photos/ght/ght-ext-view04.jpg
la-samanna-a-belmond-hotel-st-martin-saint-martin,"La Samanna, A Belmond Hotel, St Martin",https://img.belmond.com/f_auto/t_2580x1299/photos/las/las-gst-pool02.jpg
le-manoir-aux-quatsaisons-a-belmond-hotel-oxfordshire-united-kingdom,"Le Manoir aux Quat'Saisons, A Belmond Hotel, Oxfordshire",https://img.belmond.com/f_auto/t_2580x1299/photos/mqs/mqs-ext05.jpg
rio-sagrado-a-belmond-hotel-sacred-valley-peru,"Rio Sagrado, A Belmond Hotel, Sacred Valley",https://img.belmond.com/f_auto/t_2580x1299/photos/rsg/rsg-ext07.jpg
splendido-a-belmond-hotel-portofino-italy,"Splendido, A Belmond Hotel, Portofino",https://img.belmond.com/f_auto/t_2580x1299/photos/spl/spl-ext19.jpg
villa-santandrea-a-belmond-hotel-taormina-mare-italy,"Villa Sant'Andrea, A Belmond Hotel, Taormina Mare",https://img.belmond.com/f_auto/t_2580x1299/photos/vsa/vsa-ext03.jpg
cheval-blanc-courchevel-france,Cheval Blanc Courchevel,https://media.virtuoso.com/m/Images/Brochures/w900/11332534_2_2_0409.jpg
cheval-blanc-paris-france,Cheval Blanc Paris,https://media.virtuoso.com/m/Images/Brochures/w900/15873973_2_0_0506.jpg
cheval-blanc-randheli-maldives-maldives,"Cheval Blanc Randheli, Maldives",https://media.virtuoso.com/m/Images/Brochures/w900/14139791_2_58_0416.jpg
cheval-blanc-st-barth-saint-barthlemy,Cheval Blanc St-Barth,https://media.virtuoso.com/m/Images/Brochures/w900/4518_2_0_0416.jpg
four-seasons-hotel-cairo-at-nile-plaza-egypt,Four Seasons Hotel Cairo at Nile Plaza,"https://www.fourseasons.com/alt/img-opt/~70.960.0,0000-312,5000-3000,0000-1687,5000/publish/content/dam/fourseasons/images/web/CAI/CAI_881_original.jpg"
four-seasons-hotel-cairo-at-the-first-residence-egypt,"Four Seasons Hotel Cairo, at The First Residence","https://www.fourseasons.com/alt/img-opt/~75.701.0,0000-0,0000-1600,0000-900,0000/publish/content/dam/fourseasons/images/web/CAF/CAF_387_aspect16x9.jpg"
four-seasons-hotel-chicago-united-states,Four Seasons Hotel Chicago,"https://www.fourseasons.com/alt/img-opt/~75.701.0,0000-0,0000-1600,0000-900,0000/publish/content/dam/fourseasons/images/web/CFS/CFS_1252_aspect16x9.jpg"
four-seasons-hotel-hangzhou-at-west-lake-china,Four Seasons Hotel Hangzhou at West Lake,"https://www.fourseasons.com/alt/img-opt/~70.960.0,0000-0,0000-3000,0000-1687,5000/publish/content/dam/fourseasons/images/web/HAN/HAN_2308_original.jpg"
four-seasons-hotel-istanbul-at-the-bosphorus-turkey,Four Seasons Hotel Istanbul at the Bosphorus,"https://www.fourseasons.com/alt/img-opt/~70.960.0,0000-263,3021-2000,0000-1125,0000/publish/content/dam/fourseasons/images/web/BOP/BOP_1451_original.jpg"
four-seasons-hotel-milano-italy,Four Seasons Hotel Milano,"https://www.fourseasons.com/alt/img-opt/~70.960.0,0000-214,0000-2048,0000-1152,0000/publish/content/dam/fourseasons/images/web/MIL/MIL_1226_original.jpg"
four-seasons-hotel-san-francisco-at-embarcadero-united-states,Four Seasons Hotel San Francisco at Embarcadero,"https://www.fourseasons.com/alt/img-opt/~75.701.0,0000-0,0000-1600,0000-900,0000/publish/content/dam/fourseasons/images/web/EMB/EMB_044_aspect16x9.jpg"
four-seasons-hotel-at-the-surf-club-united-states,Four Seasons Hotel at The Surf Club,https://www.fourseasons.com/alt/img-opt/~75.701/publish/content/dam/fourseasons/images/web/MFL/MFL_227_aspect16x9.jpg
four-seasons-resort-bora-bora-french-polynesia,Four Seasons Resort Bora Bora,"https://www.fourseasons.com/alt/img-opt/~75.701.0,0000-0,0000-1600,0000-900,0000/publish/content/dam/fourseasons/images/web/BOR/BOR_1423_aspect16x9.jpg"
four-seasons-resort-megeve-france,Four Seasons Resort Megeve,"https://www.fourseasons.com/alt/img-opt/~75.701.0,0000-312,5000-3000,0000-1687,5000/publish/content/dam/fourseasons/images/web/MVE/MVE_1179_original.jpg"
four-seasons-resort-the-nam-hai-hoi-an-vietnam-vietnam,"Four Seasons Resort The Nam Hai, Hoi An, Vietnam","https://www.fourseasons.com/alt/img-opt/~70.960.0,0000-0,0000-3000,0000-1687,5000/publish/content/dam/fourseasons/images/web/NMH/NMH_199_original.jpg"
four-seasons-resort-vail-united-states,Four Seasons Resort Vail,"https://www.fourseasons.com/alt/img-opt/~70.960.0,0000-0,0000-3000,0000-1687,5000/publish/content/dam/fourseasons/images/web/VAI/VAI_151_original.jpg"
the-ocean-club-a-four-seasons-resort-bahamas-bahamas,"The Ocean Club, A Four Seasons Resort, Bahamas","https://www.fourseasons.com/alt/img-opt/~70.960.0,0000-260,5000-3000,0000-1687,5000/publish/content/dam/fourseasons/images/web/BOC/BOC_658_original.jpg"
arizona-biltmore-lxr-hotels-resorts-united-states,"Arizona Biltmore, LXR Hotels & Resorts",https://media.virtuoso.com/m/Images/Brochures/w900/4574_2_0_0418.jpg
beach-village-at-the-del-lxr-hotels-resorts-united-states,"Beach Village at The Del, LXR Hotels & Resorts",https://media.virtuoso.com/m/Images/Brochures/w900/4309_2_15_0430.jpg
conrad-dublin-ireland,Conrad Dublin,https://media.virtuoso.com/m/Images/Brochures/w900/16597028_2_0_0415.jpg
conrad-osaka-japan,Conrad Osaka,https://media.virtuoso.com/m/Images/Brochures/w900/15782759_2_0_0504.jpg
la-quinta-resort-club-united-states,La Quinta Resort & Club,https://media.virtuoso.com/m/Images/Brochures/w900/4153_2_0_0413.jpg
susona-bodrum-lxr-hotels-resorts-turkey,"Susona Bodrum, LXR Hotels & Resorts",https://media.virtuoso.com/m/Images/Brochures/w900/16201058_2_4_0429.jpg
waldorf-astoria-orlando-united-states,Waldorf Astoria Orlando,https://media.virtuoso.com/m/Images/Brochures/w900/4308536_2_0_0504.jpg
oneonly-aesthesis-greece,One&Only Aesthesis,https://assets.kerzner.com/api/public/content/2fc02e22c463412286a0aeb5d36e06c5?v=c4f68648&t=w2880
oneonly-cape-town-south-africa,One&Only Cape Town,https://assets.kerzner.com/api/public/content/363ef0e4cdb04b56877081c73b6daa2c?v=4587aa92&t=w2880
oneonly-ka-island-greece,One&Only Kéa Island,https://assets.kerzner.com/api/public/content/5d8e3056381f4678aa49fa3431a74148?v=978407bd&t=w2880
oneonly-mandarina-mexico,One&Only Mandarina,https://assets.kerzner.com/api/public/content/f8504bcc277348c9916723343dcd4d4f?v=6ae2ea36&t=w2880
oneonly-one-zaabeel-united-arab-emirates,One&Only One Za’abeel,https://assets.kerzner.com/api/public/content/4b736600aec340d08498951404b5cf33?v=aad33ad0&t=w2880
